race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_001,1,134.928,134.928,22.434,1.218,2.105,,,,,
,driver_001,1,109.088,109.088,13.436,0.279,0.639,,,,,
,driver_001,1,167.473,167.473,66.805,,51.495,,,,,
,driver_001,1,107.175,107.175,3.871,0.789,0.614,,,,,
,driver_001,1,189.012,189.012,13.598,1.164,2.284,,,,,
,driver_001,1,86.188,86.188,0.0,0.743,,,,,,
,driver_001,1,107.572,107.572,0.0,1.503,,,,,,
,driver_001,1,106.989,106.989,1.368,0.766,1.368,,,,,
,driver_001,1,100.684,100.684,3.344,0.068,1.671,,,,,
,driver_001,1,88.299,88.299,1.312,1.542,1.312,,,,,
,driver_001,1,97.507,97.507,1.124,1.079,1.124,,,,,
,driver_001,1,177.228,177.228,20.022,1.638,2.078,,,,,
,driver_001,1,99.98,99.98,14.627,1.19,0.226,,,,,
,driver_001,1,93.114,93.114,1.654,0.825,0.903,,,,,
,driver_001,1,85.413,85.413,6.627,0.505,0.296,,,,,
,driver_001,1,88.367,88.367,0.0,0.492,,,,,,
,driver_001,1,119.979,119.979,15.048,6.295,1.171,,,,,
,driver_001,1,100.622,100.622,1.358,1.38,1.358,,,,,
,driver_001,1,96.989,96.989,1.989,0.913,0.542,,,,,
,driver_001,1,123.65,123.65,0.0,1.093,,,,,,
,driver_001,1,102.53,102.53,10.135,0.071,0.203,,,,,
,driver_001,1,86.332,86.332,0.0,0.629,,,,,,
,driver_001,1,84.0,84.0,0.0,1.596,,,,,,
,driver_001,1,130.539,130.539,21.174,1.239,4.924,,,,,
,driver_001,1,89.899,89.899,0.0,1.277,,,,,,
,driver_001,1,105.695,105.695,0.0,1.181,,,,,,
,driver_001,1,118.941,118.941,0.0,0.754,,,,,,
,driver_001,1,101.39,101.39,0.0,0.827,,,,,,
,driver_001,1,109.107,109.107,0.0,0.449,,,,,,
,driver_001,1,86.226,86.226,0.0,0.884,,,,,,
,driver_001,1,100.573,100.573,2.464,0.894,2.464,,,,,
,driver_001,1,130.775,130.775,4.864,1.859,0.743,,,,,
,driver_001,1,114.996,114.996,0.0,0.994,,,,,,
,driver_001,1,99.371,99.371,1.246,1.044,0.785,,,,,
,driver_001,1,113.819,113.819,3.499,1.153,0.486,,,,,
,driver_001,1,107.409,107.409,6.6,0.919,3.05,,,,,
,driver_001,1,121.465,121.465,0.0,1.478,,,,,,
,driver_001,1,108.599,108.599,13.713,0.448,0.58,,,,,
,driver_001,1,110.984,110.984,0.0,2.576,,,,,,
,driver_001,1,99.941,99.941,2.399,1.229,0.475,,,,,
,driver_001,1,114.05,114.05,0.848,1.937,0.848,,,,,
,driver_001,1,82.018,82.018,1.202,1.446,1.202,,,,,
,driver_001,1,109.228,109.228,3.596,0.498,0.628,,,,,
,driver_001,1,100.299,100.299,0.0,1.895,,,,,,
,driver_001,1,87.783,87.783,1.111,0.926,1.111,,,,,
,driver_001,1,94.01,94.01,0.0,1.354,,,,,,
,driver_001,1,112.423,112.423,1.969,0.775,1.969,,,,,
,driver_001,1,85.855,85.855,0.0,1.492,,,,,,
,driver_001,1,83.18,83.18,0.0,1.827,,,,,,
,driver_001,1,85.914,85.914,0.0,1.378,,,,,,
,driver_001,1,91.665,91.665,4.823,0.781,0.381,,,,,
,driver_001,1,127.166,127.166,0.0,1.419,,,,,,
,driver_001,1,134.026,134.026,7.079,0.925,0.905,,,,,
,driver_001,1,93.76,93.76,0.0,1.853,,,,,,
,driver_001,1,105.684,105.684,0.0,0.318,,,,,,
,driver_001,1,102.572,102.572,3.969,4.626,3.969,,,,,
,driver_001,1,120.785,120.785,0.0,1.596,,,,,,
