race_norm,driver,lap,lap_time_s,cum_time_s,gap_to_leader,gap_to_next,gap_to_prev,pit_time_s,lap_time_before,lap_time_after,delta_after_vs_before_s,pit_time_norm
,driver_119,13,99.872,1363.761,65.686,12.936,2.513,,,,,
,driver_119,13,78.652,1043.432,40.654,4.676,2.02,,,,,
,driver_119,13,143.229,1532.026,6.193,0.431,0.472,,,,,
,driver_119,13,92.891,1320.637,44.49,7.226,3.718,,,,,
,driver_119,13,86.376,1124.428,59.042,4.142,1.07,,,,,
,driver_119,13,104.651,1364.01,49.248,7.138,2.765,,,,,
,driver_119,13,86.664,1137.054,28.901,2.108,1.62,,,,,
,driver_119,13,102.876,1665.659,24.969,0.674,1.335,,,,,
,driver_119,13,94.743,3534.765,29.029,1.994,1.619,,,,,
,driver_119,13,95.808,1269.738,41.048,0.755,3.738,,,,,
,driver_119,13,111.832,1690.771,32.944,0.801,0.761,,,,,
,driver_119,13,75.27,985.082,27.29,1.578,1.169,,,,,
,driver_119,13,105.292,1408.233,69.856,3.214,2.603,,,,,
,driver_119,13,93.271,1250.976,51.432,0.805,7.543,,,,,
,driver_119,13,182.13,1508.111,22.213,2.143,2.165,,,,,
,driver_119,13,84.933,1144.902,69.054,,3.952,,,,,
,driver_119,13,97.221,1270.77,41.429,2.331,7.574,,,,,
,driver_119,13,71.483,941.859,37.79,0.727,1.724,,,,,
,driver_119,13,84.469,1121.643,32.248,0.38,0.775,,,,,
,driver_119,13,97.814,2886.745,27.012,1.803,0.81,,,,,
,driver_119,13,91.739,1205.052,47.992,2.058,5.917,,,,,
,driver_119,13,125.351,1451.957,55.168,4.824,4.863,,,,,
,driver_119,13,71.716,1043.385,33.351,2.265,0.85,,,,,
,driver_119,13,83.988,2816.122,54.909,,27.657,,,,,
,driver_119,13,87.115,1208.04,68.006,,23.058,,,,,
,driver_119,13,83.269,1245.485,23.542,1.099,3.851,,,,,
,driver_119,13,90.853,1195.562,41.821,1.079,2.475,,,,,
,driver_119,13,92.09,1226.305,67.497,0.634,22.388,,,,,
,driver_119,13,82.977,1138.148,34.617,4.782,1.479,,,,,
,driver_119,13,84.248,1322.575,18.511,0.852,1.14,,,,,
,driver_119,13,90.879,1204.579,44.054,0.624,5.05,,,,,
